Date;Number;Вид операции;Сумма;Получатель;Автор;Комментарий
12/21/2023 10:13:27 AM;БЦК00000796;Оплата поставщику;388 600,00;АртПолимер ТОО;Бухгалтер Струнина Н.Б.;Счет на оплату № 1222 от 21.12.2023 
12/22/2023 11:09:57 AM;БЦК00000797;Оплата поставщику;561 000,00;ИП Друзенко;Бухгалтер Струнина Н.Б.;налоги 16 000 и !1% и ком банка  8000 .  в кассу  537 000
12/22/2023 11:09:58 AM;БЦК00000798;Оплата поставщику;305 000,00;ИП Калмуратов;Бухгалтер Струнина Н.Б.;
12/22/2023 11:09:59 AM;БЦК00000799;Оплата поставщику;16 000,00;ИП Калмуратов;Бухгалтер Струнина Н.Б.;налоги 
12/25/2023 1:12:39 PM;БЦК00000800;Оплата поставщику;30 050,00;ЮГ-Электрокомплект ТОО ;Бухгалтер Струнина Н.Б.;Счет на оплату № 10000043684 от 25.12.2023 
12/27/2023 12:00:00 AM;БЦК00000803;Оплата поставщику;379 160,00;Long Partners ТОО ;Менеджер;Счет на оплату № 6338 от 27.12.2023 
12/27/2023 12:00:00 AM;БЦК00000802;Оплата поставщику;14 588,00;Пони Экспресс ТОО ;Менеджер;Счет на оплату № 9031 от 27.12.2023 
12/27/2023 2:19:27 PM;БЦК00000804;Оплата поставщику;641 503,30;KazStroy A & G Company;Менеджер;Платежи за профессиональные, научные и технические услуги
12/27/2023 2:19:28 PM;БЦК00000805;Оплата поставщику;132 840,00;Long Partners ТОО ;Менеджер;Счет на оплату № 6338 от 27.12.2023 
12/27/2023 2:19:29 PM;БЦК00000806;Оплата поставщику;12 000,00;Дом Мастеров ИП ;Менеджер;Счет на оплату № 390 от 25.12.2023 
